编号,课件名称,授课人,职务,课时(分),格式,课程简介,制作时间
"NGC00N0222085_2209","习近平生态文明思想的主要内容及核心要义（中）","杨朝霞","北京林业大学生态法研究中心教授、博导",30,"专家讲授精制视频","本课程是《习近平生态文明思想的主要内容及核心要义》系列课程的第二部分，由北京林业大学生态法研究中心教授、博导杨朝霞主讲，主要内容有：习近平生态文明思想的科学内涵；习近平生态文明思想的核心要义。",2022.8
"NGC00N0322085_2209","习近平生态文明思想的主要内容及核心要义（下）","杨朝霞","北京林业大学生态法研究中心教授、博导",29,"专家讲授精制视频","本课程是《习近平生态文明思想的主要内容及核心要义》系列课程的第三部分，由北京林业大学生态法研究中心教授、博导杨朝霞主讲，主要内容有：习近平生态文明思想的核心要义；生态文明法治建设的主要建议。",2022.8
"NGC00I0123015_2302","以林长制促林长治——林长制的制度逻辑与治理逻辑（一）","林震","北京林业大学生态文明研究院院长",33,"专家讲授精制视频","森林和草原是重要的自然生态系统，对于维护国家生态安全、推进生态文明建设具有基础性、战略性作用。林长制是继河长制之后，中国生态文明建设的又一项重大制度创新。推行林长制，有助于进一步压实各级党政领导保护发展森林资源的主体责任，让山有人管、林有人造、树有人护、责有人担，从而真正实现“林长治”。本课程由北京林业大学生态文明研究院院长林震主讲，主要内容有：百年绿色长征路，千秋生态文明情。",2023.1
"NGC00I0223015_2302","以林长制促林长治——林长制的制度逻辑与治理逻辑（二）","林震","北京林业大学生态文明研究院院长",28,"专家讲授精制视频","森林和草原是重要的自然生态系统，对于维护国家生态安全、推进生态文明建设具有基础性、战略性作用。林长制是继河长制之后，中国生态文明建设的又一项重大制度创新。推行林长制，有助于进一步压实各级党政领导保护发展森林资源的主体责任，让山有人管、林有人造、树有人护、责有人担，从而真正实现“林长治”。本课程由北京林业大学生态文明研究院院长林震主讲，主要内容有：百年绿色长征路，千秋生态文明情；林长制改革目的意义与制度逻辑。",2023.1
"NGC00I0323015_2302","以林长制促林长治——林长制的制度逻辑与治理逻辑（三）","林震","北京林业大学生态文明研究院院长",32,"专家讲授精制视频","森林和草原是重要的自然生态系统，对于维护国家生态安全、推进生态文明建设具有基础性、战略性作用。林长制是继河长制之后，中国生态文明建设的又一项重大制度创新。推行林长制，有助于进一步压实各级党政领导保护发展森林资源的主体责任，让山有人管、林有人造、树有人护、责有人担，从而真正实现“林长治”。本课程由北京林业大学生态文明研究院院长林震主讲，主要内容有：林长制改革目的意义与制度逻辑；治理现代化与林长制的治理逻辑。",2023.1
"NGC00I0423015_2302","以林长制促林长治——林长制的制度逻辑与治理逻辑（四）","林震","北京林业大学生态文明研究院院长",30,"专家讲授精制视频","森林和草原是重要的自然生态系统，对于维护国家生态安全、推进生态文明建设具有基础性、战略性作用。林长制是继河长制之后，中国生态文明建设的又一项重大制度创新。推行林长制，有助于进一步压实各级党政领导保护发展森林资源的主体责任，让山有人管、林有人造、树有人护、责有人担，从而真正实现“林长治”。本课程由北京林业大学生态文明研究院院长林震主讲，主要内容有：治理现代化与林长制的治理逻辑。",2023.1
"NGC00I0123075_2307","新时代中国生态文明制度创新的成就与挑战（上）","吴明红","北京林业大学马克思主义学院教授",33,"专家讲授精制视频","生态文明建设是事关“两个一百年”奋斗目标的重大战略任务，必须以制度体系进行战略保障。党的十八大以来，以习近平同志为核心的党中央全面深化生态文明体制机制改革，强调“用最严格制度最严密法治保护生态环境”，加快制度创新，强化制度执行，形成了越来越科学、越来越严密的新时代生态文明制度体系，为我国生态环境明显好转提供了基本制度保障，也为我国奋力开创新时代生态文明建设新局面奠定了重要制度基础。本课程由北京林业大学马克思主义学院教授吴明红主讲，主要内容有：生态文明建设为什么需要制度创新。",2023.7
"NGC00I0223075_2307","新时代中国生态文明制度创新的成就与挑战（中）","吴明红","北京林业大学马克思主义学院教授",28,"专家讲授精制视频","生态文明建设是事关“两个一百年”奋斗目标的重大战略任务，必须以制度体系进行战略保障。党的十八大以来，以习近平同志为核心的党中央全面深化生态文明体制机制改革，强调“用最严格制度最严密法治保护生态环境”，加快制度创新，强化制度执行，形成了越来越科学、越来越严密的新时代生态文明制度体系，为我国生态环境明显好转提供了基本制度保障，也为我国奋力开创新时代生态文明建设新局面奠定了重要制度基础。本课程由北京林业大学马克思主义学院教授吴明红主讲，主要内容有：新时代中国生态文明制度创新的成就。",2023.7
"NGC00I0323075_2307","新时代中国生态文明制度创新的成就与挑战（下）","吴明红","北京林业大学马克思主义学院教授",31,"专家讲授精制视频","生态文明建设是事关“两个一百年”奋斗目标的重大战略任务，必须以制度体系进行战略保障。党的十八大以来，以习近平同志为核心的党中央全面深化生态文明体制机制改革，强调“用最严格制度最严密法治保护生态环境”，加快制度创新，强化制度执行，形成了越来越科学、越来越严密的新时代生态文明制度体系，为我国生态环境明显好转提供了基本制度保障，也为我国奋力开创新时代生态文明建设新局面奠定了重要制度基础。本课程由北京林业大学马克思主义学院教授吴明红主讲，主要内容有：新时代中国生态文明制度创新的成就；新征程上生态文明制度创新面临的挑战。",2023.7
"NGC00N0123115_2312","加强生态环境保护，全面推进美丽中国建设（上）","黄苇町","全国党建研究会特约研究员、原红旗出版社副总编",25,"专家讲授精制视频","2023年7月17日至18日，全国生态环境保护大会在北京召开。习近平总书记在大会上的重要讲话，科学回答了新时代新征程生态文明建设一系列重大理论和实践问题，系统部署了全面建设美丽中国的重大任务和战略举措，再次向世界宣示了中国坚定走生产发展、生活富裕、生态良好的文明发展道路的坚定决心，创新发展了习近平生态文明思想。本课程由全国党建研究会特约研究员、原红旗出版社副总编黄苇町主讲，主要内容有：深刻认识新时代生态文明建设的“四个重大转变”；推进生态文明建设需要处理好“五个重大关系”。",2023.11
"NGC00N0223115_2312","加强生态环境保护，全面推进美丽中国建设（中）","黄苇町","全国党建研究会特约研究员、原红旗出版社副总编",34,"专家讲授精制视频","2023年7月17日至18日，全国生态环境保护大会在北京召开。习近平总书记在大会上的重要讲话，科学回答了新时代新征程生态文明建设一系列重大理论和实践问题，系统部署了全面建设美丽中国的重大任务和战略举措，再次向世界宣示了中国坚定走生产发展、生活富裕、生态良好的文明发展道路的坚定决心，创新发展了习近平生态文明思想。本课程由全国党建研究会特约研究员、原红旗出版社副总编黄苇町主讲，主要内容有：推进生态文明建设需要处理好“五个重大关系”。",2023.11
